rank,id,dataset_index,score_max_abs_err,true,pred,signed_err
1,19092,19092,1.23108395782765,-60.977474156417884,-62.208558114245534,-1.23108395782765
2,37656,37656,1.150308797667094,-69.53259272780997,-68.38228393014288,1.150308797667094
3,20237,20237,1.1094169238640461,-63.32918912572495,-62.219772201860906,1.1094169238640461
4,19093,19093,1.034731151561573,-71.56106566400194,-72.59579681556352,-1.034731151561573
5,20238,20238,0.9966561523797282,-73.59245296794325,-72.59579681556352,0.9966561523797282
6,37659,37659,0.955054892602675,-72.03119655086266,-71.07614165825998,0.955054892602675
7,19117,19117,0.8586185040185228,-55.04702826592256,-55.905646769941086,-0.8586185040185228
8,20288,20288,0.8548285272554494,-56.77478794689523,-55.91995941963978,0.8548285272554494
9,37011,37011,0.8548051142715849,-81.33653279137798,-82.19133790564956,-0.8548051142715849
10,63509,63509,0.8302900739399774,-69.50650023769049,-68.67621016375051,0.8302900739399774
11,68731,68731,0.8277045854483731,-66.59303297367296,-65.76532838822459,0.8277045854483731
12,37004,37004,0.822682500409428,-88.42754419561243,-89.25022669602185,-0.822682500409428
13,19115,19115,0.8182333018194186,-65.25970451530884,-66.07793781712826,-0.8182333018194186
14,19098,19098,0.8036184782977216,-56.489611950179096,-57.29323042847682,-0.8036184782977216
15,20242,20242,0.7997567992715631,-58.09298722774838,-57.29323042847682,0.7997567992715631
16,37076,37076,0.7914950340473297,-69.74002838094202,-68.94853334689469,0.7914950340473297
17,20286,20286,0.7726489538908936,-66.8505860393634,-66.07793708547251,0.7726489538908936
18,37857,37857,0.7668220475316048,-84.84122527268482,-84.07440322515322,0.7668220475316048
19,37580,37580,0.7582019081773979,-70.31793975008259,-71.07614165825998,-0.7582019081773979
20,37014,37014,0.7278807679467718,-65.97168713555584,-66.69956790350261,-0.7278807679467718
21,37065,37065,0.7272819077188615,-89.97750860374072,-89.25022669602185,0.7272819077188615
22,37013,37013,0.6848083771074016,-68.26372533561516,-68.94853371272256,-0.6848083771074016
23,41718,41718,0.6635751786234323,-90.37166618710035,-89.70809100847691,0.6635751786234323
24,41626,41626,0.66330592930899,-89.04478507916792,-89.70809100847691,-0.66330592930899
25,37387,37387,0.6592964558221865,-83.14579014256014,-83.80508659838233,-0.6592964558221865
26,133862,133862,0.6575148740812438,-79.98854048855719,-80.64605536263844,-0.6575148740812438
27,37579,37579,0.65742305128515,-67.72486106177166,-68.38228411305681,-0.65742305128515
28,37073,37073,0.6509387522382895,-82.8422773895436,-82.19133863730531,0.6509387522382895
29,41629,41629,0.6395219959813403,-81.75817136454862,-82.39769336052996,-0.6395219959813403
30,37077,37077,0.6311350261676125,-67.33070366132597,-66.69956863515836,0.6311350261676125
31,38321,38321,0.6197877772065112,-81.53936751880974,-80.91957974160323,0.6197877772065112
32,37202,37202,0.6184364090440795,-64.39429478265811,-65.01273119170219,-0.6184364090440795
33,37194,37194,0.6065052987978561,-66.97902674222132,-67.58553204101918,-0.6065052987978561
34,41719,41719,0.6017802659916924,-82.99947362652165,-82.39769336052996,0.6017802659916924
35,37099,37099,0.599564080737764,-68.01185613758571,-67.41229205684795,0.599564080737764
36,41631,41631,0.5864096420846181,-74.11099257682508,-74.6974022189097,-0.5864096420846181
37,41635,41635,0.563556740693457,-74.25341046522226,-74.81696720591572,-0.563556740693457
38,37206,37206,0.5590691301767947,-59.381473237110185,-59.94054236728698,-0.5590691301767947
39,41725,41725,0.5543678761823685,-75.25177009509207,-74.6974022189097,0.5543678761823685
40,37097,37097,0.5384360723182908,-65.09041583799262,-64.55197976567433,0.5384360723182908
41,37205,37205,0.5357849177235039,-61.760589445751975,-62.29637436347548,-0.5357849177235039
42,37101,37101,0.5228894852043595,-60.23572156135924,-59.71283207615488,0.5228894852043595
43,19746,19746,0.522008571686456,-63.24230573757086,-62.7202971658844,0.522008571686456
44,41729,41729,0.521769686085463,-75.33873762365693,-74.81696793757146,0.521769686085463
45,15,15,0.5157265754533,-32.642056765500456,-33.157783340953756,-0.5157265754533
46,37404,37404,0.5155824392713839,-60.79178651304392,-61.3073689523153,-0.5155824392713839
47,37100,37100,0.5151500307256356,-62.63255335057329,-62.117403319847654,0.5151500307256356
48,41726,41726,0.5124439104929479,-70.11360933539254,-69.60116542489959,0.5124439104929479
49,18988,18988,0.4991033569094725,-61.97235110493784,-62.471454461847316,-0.4991033569094725
50,18985,18985,0.48899626443744637,-76.95748901255138,-77.44648527698882,-0.48899626443744637
51,37201,37201,0.48043955049070064,-66.75096891460998,-67.23140846510069,-0.48043955049070064
52,41633,41633,0.4660717522401683,-69.13509367265942,-69.60116542489959,-0.4660717522401683
53,39865,39865,0.4574201974173775,-60.502879803680116,-60.960300001097494,-0.4574201974173775
54,37611,37611,0.45594225281092804,-67.912429792068,-68.36837204487892,-0.45594225281092804
55,37390,37390,0.44799354478891473,-72.13745875601307,-72.58545230080199,-0.44799354478891473
56,39841,39841,0.4462136092733999,-68.685913016423,-68.2396994071496,0.4462136092733999
57,39849,39849,0.44350044685415924,-61.176010406343266,-60.73250995948911,0.44350044685415924
58,19744,19744,0.4281942086527124,-78.53438566868135,-78.10619146002864,0.4281942086527124
59,37095,37095,0.4216890574170975,-67.46515637944685,-67.04346732202976,0.4216890574170975
60,158,158,0.40569725778186694,-55.68380289457855,-55.27810563679668,0.40569725778186694
61,19089,19089,0.3797929861029843,-76.78697956762335,-77.16677255372633,-0.3797929861029843
62,37322,37322,0.3769956832729804,-72.97597501841665,-72.59897933514367,0.3769956832729804
63,37389,37389,0.371418637350871,-68.42819221865284,-68.79961085600371,-0.371418637350871
64,110620,110620,0.36669360454470734,-73.50782015286313,-73.14112654831843,0.36669360454470734
65,39854,39854,0.36514322601942695,-68.04889675845698,-68.4140399844764,-0.36514322601942695
66,39373,39373,0.3565786467734142,-75.57436369830248,-75.93094234507589,-0.3565786467734142
67,78283,78283,0.3410305963479914,-73.75727086282495,-73.41624026647696,0.3410305963479914
68,37192,37192,0.33401548105757684,-82.15156583096541,-82.48558131202299,-0.33401548105757684
69,37066,37066,0.33342649818223435,-82.41421487892512,-82.08078838074289,0.33342649818223435
70,37401,37401,0.3331389574741479,-63.16516141904867,-63.49830037652282,-0.3331389574741479
71,107172,107172,0.3249853858433198,-82.37388601421844,-82.69887140006176,-0.3249853858433198
72,128947,128947,0.3176029793685302,-52.045479344553314,-51.727876365184784,0.3176029793685302
73,37321,37321,0.31373983703088015,-68.94776913246824,-68.63402929543736,0.31373983703088015
74,78278,78278,0.2971323490855866,-75.7030714555076,-75.40593910642201,0.2971323490855866
75,78393,78393,0.2947358106903266,-83.23529066331685,-82.94055485262652,0.2947358106903266
76,37317,37317,0.2930544657865539,-83.51203213259578,-83.80508659838233,-0.2930544657865539
77,1102,1102,0.29249840741977096,-59.25023248771322,-59.54273089513299,-0.29249840741977096
78,37082,37082,0.2908155992045067,-82.77639764288324,-82.48558204367873,0.2908155992045067
79,18936,18936,0.28417216503294185,-78.3156125524838,-78.03144038745086,0.28417216503294185
80,41379,41379,0.2838377983571263,-74.04315199276607,-74.3269897911232,-0.2838377983571263
81,78279,78279,0.28253106119518634,-68.31978607925339,-68.0372550180582,0.28253106119518634
82,79567,79567,0.28170063192374073,-75.47792817855952,-75.75962881048326,-0.28170063192374073
83,41380,41380,0.27929019206931116,-66.30929577798088,-66.58858597005019,-0.27929019206931116
84,107191,107191,0.27784791568046785,-72.68993383878114,-72.96778175446161,-0.27784791568046785
85,17456,17456,0.27670122821291443,-62.46786861703731,-62.1911673888244,0.27670122821291443
86,37197,37197,0.27521304042602424,-77.07207508220745,-77.34728812263347,-0.27521304042602424
