rank,id,dataset_index,score_max_abs_err,true,pred,signed_err
1,3898,3898,2.294506528759939,-37.2463829868293,-34.951876458069364,2.294506528759939
2,3837,3837,2.136859510520935,-38.82940154905373,-36.69254203853279,2.136859510520935
3,1669,1669,1.4937230835196829,-57.37066303544566,-58.86438611896534,-1.4937230835196829
4,7374,7374,1.3412730295830215,-68.40955337857326,-69.75082640815629,-1.3412730295830215
5,10348,10348,1.1982917125358767,-61.00569149349161,-62.20398320602749,-1.1982917125358767
6,6169,6169,1.1675526150668318,-63.04270935499388,-64.21026197006071,-1.1675526150668318
7,7656,7656,1.0711672810138708,-62.80052952076443,-63.8716968017783,-1.0711672810138708
8,7601,7601,1.0505599597832713,-62.995822925363925,-64.0463828851472,-1.0505599597832713
9,13832,13832,0.9854721929312404,-58.79759963656147,-59.78307182949271,-0.9854721929312404
10,270,270,0.953335905893482,-46.15405254512598,-47.10738845101946,-0.953335905893482
11,4806,4806,0.9332193423675221,-58.83259201161155,-59.765811353979075,-0.9332193423675221
12,6032,6032,0.874845395166119,-68.50852205447404,-69.38336744964016,-0.874845395166119
13,5803,5803,0.863175620123684,-68.70800786645538,-69.57118348657906,-0.863175620123684
14,16984,16984,0.8166826176768041,-68.17765795955893,-68.99434057723573,-0.8166826176768041
15,3899,3899,0.7957157252767502,-26.599550754916436,-27.395266480193186,-0.7957157252767502
16,16991,16991,0.7788016669663875,-60.305328427641086,-61.084130094607474,-0.7788016669663875
17,16987,16987,0.6958087919762761,-68.24631495360984,-68.94212374558612,-0.6958087919762761
18,4222,4222,0.6465465706628493,-41.10277980655337,-41.74932637721622,-0.6465465706628493
19,16980,16980,0.6437074327277514,-76.08378559233574,-76.7274930250635,-0.6437074327277514
20,3839,3839,0.6060867363280522,-28.80451850073814,-29.410605237066193,-0.6060867363280522
21,8592,8592,0.5979535242731799,-75.08137497535813,-75.67932849963131,-0.5979535242731799
22,7334,7334,0.5876210396984334,-56.98826223072956,-57.575883270427994,-0.5876210396984334
23,1,1,0.585721218542858,-11.245998479211266,-10.660277260668408,0.585721218542858
24,4987,4987,0.5834530863342593,-61.194542014831114,-61.777995101165374,-0.5834530863342593
25,16988,16988,0.5829954342491988,-60.62881464831764,-61.21181008256684,-0.5829954342491988
26,16974,16974,0.5770722209349444,-62.563869452698626,-63.14094167363357,-0.5770722209349444
27,7605,7605,0.5706913555356294,-65.25695042626793,-64.6862590707323,0.5706913555356294
